id,dist_latest_transaction_address_km,email,application_date,site_visits_A,site_visits_B,site_visits_C,credit_limit,number_of_transactions,is_fraud
35,16.0,biglesiaaa@amazon.co.jp,2019-02-27 10:06:22.206197,3.0,1.0,1.0,"$3,082.23",20,0
36,2.0,sboskellau@facebook.com,2019-02-14 05:18:52.869007,6.0,2.0,2.0,"$1,100.19",21,0
37,1.0,rcardenosoib@slashdot.org,2019-03-07 10:04:21.012675,16.0,0.0,0.0,"$1,412.68",17,0
38,unknown,csemberef@facebook.com,2019-03-04 20:49:41.004041,3.0,1.0,1.0,"$1,362.70",26,0
39,0.0,eplewesu@alexa.com,2019-02-07 02:10:18.222312,17.0,0.0,0.0,"$2,334.03",18,0
40,4.0,lwickhamde@amazon.co.jp,2019-02-22 00:22:46.552122,0.0,0.0,0.0,"$1,085.77",25,0
41,2.0,enaisbet1j@yolasite.com,2019-02-17 08:39:20.627621,8.0,1.0,1.0,"$1,456.07",16,0
42,1.0,cdowning8m@discuz.net,2019-03-04 20:45:37.893913,23.0,3.0,3.0,"$1,051.28",23,0
43,0.0,gcroose5l@macromedia.com,2019-01-27 19:30:02.105857,2.0,2.0,2.0,"$1,288.21",21,0
44,19.0,hrowlingsg7@facebook.com,2019-02-19 00:16:39.368811,1.0,0.0,0.0,"$1,704.78",15,0
45,0.0,pdabney4k@topsy.com,2019-02-10 19:29:11.518947,2.0,1.0,1.0,"$1,108.43",25,0
46,unknown,omalenfant8@desdev.cn,2019-03-19 19:05:31.079134,29.0,1.0,1.0,"$1,136.81",16,0
47,9.0,hnodinc7@yolasite.com,2019-02-15 14:38:40.361040,26.0,0.0,0.0,"$1,046.88",19,0
48,2.0,fklazenga7h@yolasite.com,2019-02-27 09:19:59.553362,10.0,4.0,4.0,"$1,525.33",11,0
49,1.0,arigglesfordb8@yolasite.com,2019-01-29 12:17:55.904237,1.0,0.0,0.0,"$1,242.53",18,0
50,3.0,nveracruysse5a@facebook.com,2019-02-24 08:26:18.943345,7.0,1.0,1.0,"$1,167.28",19,0
51,7.0,apinnigarbt@desdev.cn,2019-02-09 02:39:05.452810,2.0,0.0,0.0,"$1,921.29",21,0
52,2.0,gdewar68@yolasite.com,2019-03-25 04:49:00.956744,5.0,2.0,2.0,"$1,004.05",16,0
53,3.0,akilcoyne8f@chron.com,2019-03-03 12:40:10.786029,7.0,0.0,0.0,"$1,673.08",21,0
54,5.0,mwellingtonc1@amazon.co.jp,2019-03-21 07:37:54.540721,19.0,1.0,1.0,"$1,901.22",23,0
55,0.0,mmoorcroftce@amazon.co.jp,2019-01-30 22:04:31.175552,3.0,1.0,1.0,"$1,326.69",22,0
56,7.0,ogallaherqw@typepad.com,2019-03-24 10:54:34.441765,0.0,1.0,1.0,"$2,595.21",28,0
57,5.0,cjanicijevicln@themeforest.net,2019-01-28 01:16:50.030280,2.0,1.0,1.0,"$1,155.74",24,0
58,2.0,acecere1u@cbsnews.com,2019-03-01 08:16:34.514110,5.0,1.0,1.0,"$1,548.80",16,0
59,9.0,cpezeyni@alexa.com,2019-02-07 22:48:46.872725,1.0,2.0,2.0,"$3,450.54",20,0
60,11.0,zjalland9y@themeforest.net,2019-02-12 23:13:39.587680,5.0,2.0,2.0,"$1,592.87",17,0
61,8.0,bjancarnb@tiny.cc,2019-02-24 04:02:52.239281,9.0,0.0,0.0,"$1,776.34",15,0
62,4.0,lcaff62@amazon.co.jp,2019-03-22 04:17:37.648698,5.0,1.0,1.0,"$1,034.46",18,0
63,7.0,rsenior61@slashdot.org,2019-02-21 04:59:11.114425,7.0,0.0,0.0,"$1,707.50",19,0
64,8.0,gwhistanceow@tiny.cc,2019-02-23 01:39:13.802633,19.0,0.0,0.0,"$1,601.83",19,0
65,0.0,abrahamsko@umich.edu,2019-02-19 09:13:02.263677,23.0,1.0,1.0,"$1,353.09",19,0
66,14.0,lboerderman97@topsy.com,2019-01-29 17:57:02.849159,15.0,0.0,0.0,"$1,029.59",18,0
67,26.0,rbrandhardylv@tiny.cc,2019-01-29 23:41:20.206939,43.0,0.0,0.0,"$1,391.51",21,0
68,17.0,famburgyka@desdev.cn,2019-03-10 23:59:21.133559,2.0,1.0,1.0,"$1,608.27",17,0
69,9.0,wdemeadc@themeforest.net,2019-03-07 13:17:34.468661,7.0,0.0,0.0,"$1,451.61",22,0
70,4.0,nvostaf@chron.com,2019-03-21 02:03:13.100778,3.0,0.0,0.0,"$1,843.11",21,0
71,5.0,hredfordhk@tiny.cc,2019-02-13 22:11:26.716140,21.0,1.0,1.0,"$1,322.35",20,0
72,5.0,srubinov4v@sbwire.com,2019-01-29 21:43:13.149924,6.0,1.0,1.0,"$1,747.12",11,0
73,10.0,dchuckeq@umich.edu,2019-02-11 06:55:12.786455,4.0,0.0,0.0,"$1,873.67",21,0
74,21.0,mlongford5x@chron.com,2019-03-18 01:59:41.631353,10.0,2.0,2.0,"$2,606.60",24,0
75,5.0,vburrells5@facebook.com,2019-02-21 13:12:10.546910,17.0,3.0,3.0,"$1,411.34",24,0
76,4.0,psallings1@amazon.co.jp,2019-02-16 17:35:14.998969,4.0,3.0,3.0,"$1,251.02",19,0
77,5.0,npetkovicja@umich.edu,2019-03-14 10:42:43.445051,7.0,0.0,0.0,"$1,638.76",27,0
78,6.0,hadelmanbb@slashdot.org,2019-03-15 08:50:04.077575,17.0,0.0,0.0,"$3,872.08",18,0
79,12.0,lpawelczykno@nih.gov,2019-02-03 05:16:12.034542,10.0,1.0,1.0,"$2,032.72",19,0
80,3.0,jeasson10@umich.edu,2019-02-10 18:55:59.302763,3.0,1.0,1.0,"$1,191.42",18,0
81,1.0,gwhistanceow@chron.com,2019-02-24 20:32:24.476632,1.0,0.0,0.0,"$1,475.76",14,0
82,6.0,cbockler15@spiegel.de,2019-02-03 04:23:00.716523,17.0,0.0,0.0,"$1,346.49",22,0
83,21.0,asnuggs7d@desdev.cn,2019-02-24 06:27:02.955939,2.0,0.0,0.0,"$1,221.18",15,0
84,2.0,kdemullettfm@wikimedia.org,2019-03-10 09:23:26.751714,1.0,0.0,0.0,"$1,147.80",22,0
85,0.0,dpassoj0@nih.gov,2019-02-06 11:23:37.225483,4.0,3.0,3.0,"$1,102.51",15,0
86,unknown,vyardley4@tiny.cc,2019-03-13 23:46:59.823791,8.0,1.0,1.0,"$1,119.09",14,0
87,8.0,cbotlyg0@desdev.cn,2019-02-03 06:09:39.058514,9.0,1.0,1.0,"$1,036.14",20,0
88,4.0,deadmead7b@slashdot.org,2019-02-18 08:22:11.710087,6.0,1.0,1.0,"$1,095.89",20,0
89,32.0,fguillou5n@facebook.com,2019-01-30 08:45:23.377249,4.0,1.0,1.0,"$1,472.43",26,0
90,4.0,bwhetnall37@themeforest.net,2019-02-06 17:16:16.971294,11.0,0.0,0.0,"$1,561.82",22,0
91,4.0,sstainfieldmi@alexa.com,2019-01-30 12:15:19.753547,13.0,1.0,1.0,"$1,603.91",14,0
92,2.0,cnecolds5v@yolasite.com,2019-02-19 18:17:24.652373,13.0,2.0,2.0,"$2,199.30",26,0
93,1.0,spitkinsiv@facebook.com,2019-03-21 05:45:37.346856,20.0,0.0,0.0,"$1,253.70",16,0
94,4.0,sornilsg@alexa.com,2019-02-27 07:22:48.625493,2.0,0.0,0.0,"$1,509.07",18,0
95,4.0,smorffewa5@umich.edu,2019-03-12 02:37:06.475541,16.0,0.0,0.0,"$1,147.72",17,0
96,11.0,rmosconi49@amazon.co.jp,2019-02-16 17:38:30.275693,17.0,0.0,0.0,"$1,169.28",22,0
97,6.0,odomonefs@amazon.co.jp,2019-02-06 04:07:10.465317,3.0,0.0,0.0,"$1,716.62",24,0
98,5.0,jrheaumegt@themeforest.net,2019-02-15 21:11:57.675914,5.0,1.0,1.0,"$1,625.27",21,0
99,2.0,ctellenbrok28@nih.gov,2019-02-18 17:42:51.712588,2.0,2.0,2.0,"$1,510.81",21,0
100,5.0,headenr5@umich.edu,2019-02-03 05:44:58.790564,2.0,1.0,1.0,"$1,328.48",23,0
101,2.0,dcolmoreo@nih.gov,2019-03-01 08:50:42.027032,1.0,1.0,1.0,"$1,840.01",15,0
102,16.0,wdemeadc@photobucket.com,2019-02-03 09:21:08.906063,15.0,2.0,2.0,"$2,146.41",16,0
103,1.0,dcharpine6@themeforest.net,2019-03-25 05:49:05.194633,2.0,0.0,0.0,"$1,080.30",14,0
104,1.0,ctellenbrok28@alexa.com,2019-03-24 02:19:46.834331,1.0,1.0,1.0,"$1,851.81",19,0
105,10.0,mdracksfordor@umich.edu,2019-03-19 04:26:56.397837,1.0,2.0,2.0,"$1,494.68",23,0
106,1.0,hrowlingsg7@facebook.com,2019-03-09 03:22:13.844444,10.0,0.0,0.0,"$1,062.79",22,0
107,2.0,mtwededk@amazon.co.jp,2019-02-09 06:55:11.851198,14.0,1.0,1.0,"$1,252.99",19,0
108,0.0,lveyseylb@slashdot.org,2019-02-02 07:56:06.244101,28.0,2.0,2.0,"$1,083.47",24,0
109,2.0,wadeyi0@macromedia.com,2019-02-11 06:35:07.844453,2.0,2.0,2.0,"$1,876.38",17,0
110,3.0,ebanaszkiewicz31@discuz.net,2019-03-22 13:19:23.387001,13.0,1.0,1.0,"$1,200.96",28,0
111,0.0,ncislandir@yolasite.com,2019-03-16 03:06:41.583103,4.0,1.0,1.0,"$1,237.25",12,0
112,2.0,ptrothlp@themeforest.net,2019-02-23 08:58:51.923428,3.0,0.0,0.0,"$3,350.19",21,0
113,0.0,jesomn@alexa.com,2019-01-27 07:
115,3.0,pstembridgea9@desdev.cn,2019-03-20 06:05:07.284500,2.0,1.0,1.0,"$1,930.69",12,0
116,4.0,mdanskenos@amazon.co.jp,2019-03-15 18:44:26.815471,2.0,0.0,0.0,"$1,017.77",14,0
117,5.0,lmountfc@desdev.cn,2019-02-08 21:44:03.480375,5.0,0.0,0.0,"$2,279.46",25,0
118,6.0,jcocozza3p@desdev.cn,2019-03-09 03:48:01.448792,0.0,1.0,1.0,"$1,022.99",16,0
119,2.0,dgwaltergf@nih.gov,2019-03-22 01:52:35.231060,6.0,2.0,2.0,"$1,687.26",20,0
120,7.0,moadescc@squidoo.com,2019-02-25 09:29:47.726170,7.0,3.0,3.0,"$1,379.88",19,0
121,4.0,fgiametti2o@discuz.net,2019-01-30 17:42:00.280532,1.0,0.0,0.0,"$2,264.25",19,0
122,3.0,obarnfieldhi@chron.com,2019-02-25 02:24:45.311602,8.0,0.0,0.0,"$1,162.23",24,0
123,0.0,bfiltnessam@umich.edu,2019-01-28 15:23:22.269111,27.0,1.0,1.0,"$1,780.06",15,0
124,5.0,nsmalingcx@typepad.com,2019-03-24 03:30:36.815712,5.0,1.0,1.0,"$1,312.36",20,0
125,6.0,mtinwell2h@typepad.com,2019-03-20 12:04:11.180820,23.0,2.0,2.0,"$1,143.39",24,0
126,5.0,tstanbridge58@yolasite.com,2019-02-28 20:29:47.189493,9.0,1.0,1.0,"$1,307.06",25,0
127,4.0,dbarnicottfz@amazon.co.jp,2019-01-28 04:10:30.293420,5.0,0.0,0.0,"$1,993.46",17,0
128,6.0,mbeig6u@umich.edu,2019-03-22 21:38:06.097177,14.0,0.0,0.0,"$1,251.19",22,0
129,5.0,mbrogden1x@facebook.com,2019-03-01 15:58:00.204498,22.0,5.0,5.0,"$1,073.26",18,0
130,2.0,omcclymonddl@chron.com,2019-02-25 16:27:58.223622,6.0,2.0,2.0,"$1,586.77",24,0
131,12.0,nbeldom84@alexa.com,2019-02-13 10:12:45.391627,10.0,3.0,3.0,"$1,150.40",19,0
132,4.0,dkupisg2@tiny.cc,2019-02-19 05:53:00.413380,19.0,2.0,2.0,"$1,167.05",19,0
133,3.0,rhowsin3x@desdev.cn,2019-02-24 03:06:17.832807,16.0,3.0,3.0,"$1,487.26",12,0
134,30.0,adietzlerp9@yolasite.com,2019-02-23 13:07:01.004456,1.0,1.0,1.0,"$1,872.17",13,0
135,7.0,abumpascg@facebook.com,2019-03-06 16:06:59.000567,4.0,1.0,1.0,"$1,734.91",20,0
136,9.0,jwithnalljo@themeforest.net,2019-03-01 01:01:02.195970,9.0,2.0,2.0,"$1,570.50",20,0
137,1.0,zarborjt@discuz.net,2019-01-29 20:11:37.694028,0.0,2.0,2.0,"$2,138.59",24,0
138,1.0,dbarnicottfz@desdev.cn,2019-02-06 02:32:03.333121,24.0,4.0,4.0,"$1,014.20",20,0
139,4.0,fbotheal@unblog.fr,2019-01-25 14:09:38.108755,7.0,2.0,2.0,"$2,221.26",17,0
140,16.0,lwickhamde@alexa.com,2019-03-12 19:04:36.804483,2.0,1.0,1.0,"$2,184.08",19,0
141,2.0,ncislandir@chron.com,2019-02-25 12:55:40.916154,4.0,0.0,0.0,"$1,023.24",13,0
142,2.0,rpendreyjh@yolasite.com,2019-03-01 10:54:47.842897,11.0,0.0,0.0,"$1,457.14",17,0
143,0.0,sminchell2e@unblog.fr,2019-03-20 21:09:37.442034,15.0,1.0,1.0,"$1,146.87",21,0
144,3.0,rpendreyjh@yolasite.com,2019-02-21 09:29:26.650547,5.0,0.0,0.0,"$2,443.71",24,0
145,4.0,clloydwilliamscr@yolasite.com,2019-03-18 17:28:15.518815,5.0,0.0,0.0,"$2,106.56",23,0
146,1.0,cdemannc2@desdev.cn,2019-02-02 11:59:18.877514,6.0,3.0,3.0,"$1,108.59",21,0
147,7.0,aprierhq@umich.edu,2019-03-02 19:31:52.913258,4.0,1.0,1.0,"$1,381.63",22,0
148,2.0,smcelvined2@typepad.com,2019-02-18 17:01:42.467445,6.0,2.0,2.0,"$1,687.82",19,0
149,6.0,asnuggs7d@alexa.com,2019-01-29 18:22:50.692095,15.0,2.0,2.0,"$1,564.08",22,0
150,3.0,tkitchingmanhw@alexa.com,2019-03-15 22:16:06.115670,6.0,0.0,0.0,"$1,467.57",23,0
151,3.0,cmcpeice8x@sbwire.com,2019-03-08 21:27:07.616884,2.0,1.0,1.0,"$1,204.53",22,0
152,4.0,tmacdonell5g@soundcloud.com,2019-03-25 03:48:24.198710,4.0,2.0,2.0,"$1,195.24",17,0
153,4.0,delpheeen@sbwire.com,2019-03-26 02:26:07.403820,1.0,0.0,0.0,"$2,301.20",17,0
154,1.0,mlindgren74@discuz.net,2019-02-06 16:30:39.089675,9.0,1.0,1.0,"$1,091.26",27,1
155,1.0,dgozzettlg@discuz.net,2019-03-01 08:27:43.917515,7.0,0.0,0.0,"$1,334.93",21,0
156,0.0,fgrunnilldh@umich.edu,2019-02-23 18:23:18.191881,2.0,1.0,1.0,"$2,169.40",18,0
157,3.0,ffirks56@yolasite.com,2019-03-03 04:45:08.720344,0.0,1.0,1.0,"$1,558.19",20,0
158,9.0,cmorandoik@nih.gov,2019-03-07 13:18:33.329913,7.0,1.0,1.0,"$1,044.80",15,0
159,5.0,omaclean7x@slashdot.org,2019-02-18 04:05:40.440200,0.0,2.0,2.0,"$1,625.50",26,0
160,1.0,cdelgardillo5j@typepad.com,2019-02-01 20:26:21.249868,1.0,0.0,0.0,"$2,501.61",19,0
161,8.0,bfloatch@ocn.ne.jp,2019-02-25 14:12:30.375778,2.0,0.0,0.0,"$1,100.58",11,0
162,20.0,svarfolomeev52@facebook.com,2019-01-28 17:19:11.791228,6.0,2.0,2.0,"$2,108.46",20,0
163,9.0,cmenziesiz@nih.gov,2019-02-26 23:37:54.219680,6.0,1.0,1.0,"$1,114.55",19,0
164,11.0,kbowrycm@soundcloud.com,2019-01-31 05:16:05.497744,3.0,0.0,0.0,"$1,225.25",22,0
165,1.0,mgasonpu@sbwire.com,2019-01-26 12:12:50.204131,6.0,1.0,1.0,"$1,167.82",25,0
166,3.0,cstebbingrf@psu.edu,2019-02-05 05:20:04.587843,2.0,0.0,0.0,"$1,033.34",24,0
167,8.0,mjahncke2z@nih.gov,2019-02-08 05:29:58.420766,13.0,1.0,1.0,"$1,012.90",19,0
168,1.0,pjuggings1l@slashdot.org,2019-03-11 05:35:30.475895,13.0,2.0,2.0,"$1,681.93",21,0
169,5.0,asawlm0@alexa.com,2019-02-09 19:56:43.934876,25.0,3.0,3.0,"$1,257.59",22,0
170,7.0,epeto5t@alexa.com,2019-03-13 17:50:38.015616,5.0,1.0,1.0,"$1,114.97",17,0
171,1.0,asnuggs7d@sbwire.com,2019-03-13 09:25:47.580905,5.0,0.0,0.0,"$1,248.49",24,0
172,21.0,rmosconi49@themeforest.net,2019-02-15 15:36:52.309148,31.0,1.0,1.0,"$1,442.78",13,1
173,1.0,aaliberti7m@amazon.co.jp,2019-02-13 22:43:42.311396,15.0,1.0,1.0,"$1,602.13",25,0
174,3.0,cmonganr2@squidoo.com,2019-03-14 17:53:39.567949,6.0,1.0,1.0,"$1,217.00",18,0
175,8.0,cwimsettfw@alexa.com,2019-02-21 03:17:14.874268,8.0,2.0,2.0,"$1,052.45",21,0
176,3.0,cmenziesiz@tiny.cc,2019-01-27 06:45:09.868710,12.0,0.0,0.0,"$1,232.03",24,0
177,5.0,acecere1u@unblog.fr,2019-03-24 13:40:32.835815,7.0,1.0,1.0,"$1,082.25",13,0
178,5.0,ywilmut6k@amazon.co.jp,2019-03-23 10:00:04.915958,0.0,0.0,0.0,"$1,578.24",15,0
179,9.0,mmcpaikerq@ocn.ne.jp,2019-03-20 14:08:52.676417,5.0,1.0,1.0,"$1,341.80",23,0
180,4.0,sminchell2e@umich.edu,2019-02-03 03:41:28.529571,1.0,0.0,0.0,"$1,803.68",18,0
181,2.0,abrahamsko@alexa.com,2019-03-01 08:32:32.213830,17.0,0.0,0.0,"$1,157.73",20,0
182,10.0,kdemullettfm@alexa.com,2019-02-21 14:57:38.820068,3.0,0.0,0.0,"$1,745.95",18,0
183,4.0,cbarlass4m@facebook.com,2019-01-31 23:25:32.910932,5.0,3.0,3.0,"$1,494.34",17,0
184,0.0,esantry3y@amazon.co.jp,2019-02-11 01:18:27.820091,7.0,0.0,0.0,"$2,493.01",22,0
185,2.0,rjefferyo7@sbwire.com,2019-03-20 12:18:29.967361,2.0,0.0,0.0,"$1,200.35",30,0
186,2.0,vdinleymn@tiny.cc,2019-02-15 00:53:50.773033,21.0,0.0,0.0,"$1,187.63",16,0
187,2.0,aosherrinnf@psu.edu,2019-02-15 13:46:04.519522,5.0,0.0,0.0,"$1,225.61",16,0
188,11.0,jbodle2v@alexa.com,2019-03-13 21:06:07.115476,10.0,1.0,1.0,"$2,656.42",19,0
189,3.0,pgarahank5@sbwire.com,2019-02-23 12:07:45.850052,16.0,0.0,0.0,"$1,172.86",20,1
190,4.0,odomonefs@typepad.com,2019-01-29 23:23:29.753058,52.0,1.0,1.0,"$1,058.34",17,0
191,6.0,dsneezumdu@yolasite.com,2019-03-12 01:11:53.573634,4.0,1.0,1.0,"$2,454.66",22,0
192,1.0,jbodle2v@typepad.com,2019-02-16 21:35:24.169031,0.0,2.0,2.0,"$1,519.41",22,0
193,3.0,aasliei1@alexa.com,2019-02-28 04:58:03.027054,0.0,1.0,1.0,"$1,183.07",13,0
194,8.0,lbaise8w@slashdot.org,2019-03-15 09:25:47.099894,1.0,0.0,0.0,"$1,458.19",22,0
195,2.0,jcamiesdf@amazon.co.jp,2019-03-02 05:31:58.489045,3.0,0.0,0.0,"$1,001.83",25,0
196,6.0,bmchancj@soundcloud.com,2019-03-05 11:07:16.114143,15.0,1.0,1.0,"$1,068.56",20,0
197,1.0,fgrevilleo2@nih.gov,2019-02-26 21:24:29.837428,7.0,1.0,1.0,"$1,404.26",22,0
198,15.0,tpersey9d@unblog.fr,2019-01-28 16:16:30.601018,9.0,0.0,0.0,"$1,200.52",16,0
199,0.0,glagnehc@themeforest.net,2019-02-15 03:41:59.508931,2.0,1.0,1.0,"$1,373.90",20,0
200,3.0,ljory6y@tiny.cc,2019-01-28 05:39:47.996675,17.0,0.0,0.0,"$1,143.20",24,0
201,3.0,cmattinon@themeforest.net,2019-01-29 12:36:47.484100,25.0,1.0,1.0,"$1,472.55",19,0
202,0.0,ncuffinh5@psu.edu,2019-03-12 07:58:31.456735,1.0,2.0,2.0,"$1,717.70",18,0
203,5.0,bcollingwoodw@yolasite.com,2019-01-30 22:40:39.792428,11.0,1.0,1.0,"$1,128.22",26,0
204,17.0,rbloodworthep0@amazon.co.jp,2019-02-18 07:31:52.601313,3.0,2.0,2.0,"$1,022.65",22,0
205,4.0,ewarboyg9@themeforest.net,2019-02-20 13:32:46.127046,21.0,1.0,1.0,"$1,036.33",21,0
206,5.0,blimpkinrl@psu.edu,2019-01-26 00:26:19.763546,3.0,0.0,0.0,"$2,226.45",16,0
207,1.0,lvenablesl4@themeforest.net,2019-02-24 20:35:32.416309,6.0,1.0,1.0,"$1,020.80",14,1
208,1.0,iwinningbu@umich.edu,2019-02-11 05:50:08.788000,34.0,1.0,1.0,"$1,124.26",15,0
209,4.0,pjupph9@themeforest.net,2019-02-27 22:07:15.135021,12.0,0.0,0.0,"$1,040.91",19,0
210,11.0,ltungay60@themeforest.net,2019-02-17 13:57:37.930314,4.0,0.0,0.0,"$1,280.94",26,0
211,13.0,ekeyndeh@themeforest.net,2019-02-28 09:26:10.110750,15.0,2.0,2.0,"$1,021.31",18,0
212,unknown,abrahamsko@chron.com,2019-02-18 06:36:16.267127,15.0,0.0,0.0,"$2,486.01",22,0
213,3.0,chaysmannl@amazon.co.jp,2019-02-03 15:04:35.705247,8.0,2.0,2.0,"$1,674.06",24,0
214,1.0,cbrecher9v@facebook.com,2019-02-25 12:52:26.831473,15.0,1.0,1.0,"$1,018.07",17,0
215,3.0,bmulrann9@themeforest.net,2019-01-28 03:24:50.234520,5.0,0.0,0.0,"$1,170.97",21,0
216,0.0,akillichm6@slashdot.org,2019-03-18 00:35:38.701644,13.0,0.0,0.0,"$1,957.14",18,0
217,0.0,jbeckoe@yolasite.com,2019-03-24 02:51:16.324308,7.0,0.0,0.0,"$2,075.23",14,0
218,6.0,srobertz7k@typepad.com,2019-02-12 12:30:27.913102,8.0,1.0,1.0,"$1,058.33",20,0
219,1.0,mtearleb0@nih.gov,2019-03-08 09:25:39.413258,14.0,0.0,0.0,"$1,142.70",19,0
220,8.0,vguerrijf@typepad.com,2019-03-11 08:23:40.895452,1.0,0.0,0.0,"$1,052.87",28,0
221,1.0,gcosbee4a@yolasite.com,2019-02-09 05:27:35.918576,20.0,1.0,1.0,"$2,264.19",16,0
222,0.0,gwaliszewski2u@slashdot.org,2019-03-13 05:28:53.761640,5.0,0.0,0.0,"$1,009.91",23,0
223,4.0,dchoppen2y@unblog.fr,2019-02-14 10:12:47.010496,16.0,2.0,2.0,"$1,181.01",17,0
224,1.0,bjancarnb@amazon.co.jp,2019-01-29 07:50:02.938470,2.0,1.0,1.0,"$1,115.48",24,0
225,2.0,slorence5d@amazon.co.jp,2019-03-08 12:03:03.060982,15.0,0.0,0.0,"$1,261.70",19,0
226,1.0,hmaken7u@desdev.cn,2019-02-23 13:01:09.472570,1.0,1.0,1.0,"$1,124.80",16,0
227,5.0,ijeandin1f@facebook.com,2019-02-18 10:37:46.773824,1.0,2.0,2.0,"$1,258.61",21,0
228,8.0,jscripps43@yolasite.com,2019-03-21 16:14:10.638799,8.0,2.0,2.0,"$1,734.68",27,0
229,9.0,rsaphirq8@yolasite.com,2019-02-26 05:28:00.037309,20.0,1.0,1.0,"$1,524.55",23,1
230,2.0,vketton44@desdev.cn,2019-03-08 19:10:47.279584,14.0,2.0,2.0,"$1,764.04",21,0
231,4.0,ptrothlp@amazon.co.jp,2019-03-17 18:28:47.449124,4.0,0.0,0.0,"$1,213.90",20,0
